title,author,rating,reviews,price,year,fiction flag
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.5,2653,13.69,2010,TRUE
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,20502,1.15,2015,TRUE
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,20502,1.15,2018,TRUE
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,20502,1.15,2016,TRUE
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,20502,1.15,2017,TRUE
Decision Points,George W. Bush,4.6,2283,15.99,2010,FALSE
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,2674,0.94,2010,FALSE
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.6,9391,81.98,2013,FALSE
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.6,9391,81.98,2014,FALSE
Diary of a Wimpy Kid #10: Old School,Jeff Kinney,4.8,10489,0.35,2015,TRUE
Diary of a Wimpy Kid #11: Double Down,Jeff Kinney,4.8,10210,11.99,2016,TRUE
Diary of a Wimpy Kid #13: Meltdown,Jeff Kinney,4.8,14966,5.36,2018,TRUE
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,9606,14,2013,TRUE
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,10236,0.86,2014,TRUE
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love,M Prefontaine,4.6,21442,0.73,2019,FALSE
Divergent,Veronica Roth,4.6,29086,13.27,2014,TRUE
Divergent,Veronica Roth,4.6,29086,13.27,2013,TRUE
Divergent / Insurgent,Veronica Roth,4.6,19148,1.14,2014,TRUE
Doctor Sleep: A Novel,Stephen King,4.7,20778,1.99,2013,TRUE
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,11947,0.59,2018,TRUE
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,12103,1.25,2017,TRUE
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,14899,1.16,2018,TRUE
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,14899,1.16,2019,TRUE
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,23245,7.76,2019,TRUE
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,18437,6.42,2019,TRUE
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),Dav Pilkey,4.9,36714,6.48,2020,TRUE
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,12114,1.26,2018,TRUE
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2461,1.24,2015,FALSE
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,8629,15.22,2012,FALSE
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,8629,15.22,2011,FALSE
Educated: A Memoir,Tara Westover,4.6,1697195,19.6,2019,FALSE
Educated: A Memoir,Tara Westover,4.6,1697195,19.6,2018,FALSE
Educated: A Memoir,Tara Westover,4.6,1697195,19.6,2020,FALSE
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints・ｦ",Johanna Basford,4.7,7286,2.06,2015,FALSE
Fahrenheit 451,Ray Bradbury,4.6,22010,2.43,2018,TRUE
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,7043,1.54,2016,TRUE
Fear: Trump in the White House,Bob Woodward,4.5,9289,0.59,2018,FALSE
Fifty Shades Darker,E L James,4.5,29660,7.49,2012,TRUE
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades・ｦ,E L James,4.5,29330,10.92,2012,TRUE
"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",E L James,3.9,55665,8.99,2013,TRUE
"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",E L James,3.9,55665,8.99,2012,TRUE
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.6,33080,21.84,2012,TRUE
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,15798,10.95,2018,FALSE
First 100 Words: A Padded Board Book,Roger Priddy,4.7,29569,4.78,2016,FALSE
First 100 Words: A Padded Board Book,Roger Priddy,4.7,29569,4.78,2014,FALSE
First 100 Words: A Padded Board Book,Roger Priddy,4.7,29569,4.78,2017,FALSE
First 100 Words: A Padded Board Book,Roger Priddy,4.7,29569,4.78,2015,FALSE
First 100 Words: A Padded Board Book,Roger Priddy,4.7,29569,4.78,2018,FALSE
Food Rules: An Eater's Manual,Michael Pollan,4.5,2055,0.99,2010,FALSE
Frozen (Little Golden Book),RH Disney,4.8,5414,11.99,2014,FALSE
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1335,12.99,2010,FALSE
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,6096,51.51,2012,TRUE
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,6096,51.51,2011,TRUE
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,6096,51.51,2013,TRUE
